"","fee0X128EU","fee1X128EU","liquidityEU","Date","token0PriceEU","tvlUSDEU"
"1",2.19109822507878e+33,1.03409570265378e+42,29024499117769752576,2023-01-10 11:00:00,1333.23898229141,301969699.199706
"2",2.1911026952464e+33,1.03410534751207e+42,49601641954693726208,2023-01-10 12:00:00,1329.6559899468,302241580.755409
"3",2.1911122171893e+33,1.03411950269423e+42,36823752651095814144,2023-01-10 13:00:00,1325.67584060996,302200038.243308
"4",2.19113118353266e+33,1.03412951300567e+42,38515297907312443392,2023-01-10 14:00:00,1328.13032849362,302009344.142045
"5",2.19119657965135e+33,1.03417163778036e+42,34458248175642439680,2023-01-10 15:00:00,1332.10960345695,302209422.75912
"6",2.19124647241238e+33,1.03420639772463e+42,2.9700823481316e+19,2023-01-10 16:00:00,1333.60719701019,302298698.703073
"7",2.19126172136843e+33,1.03422364290663e+42,96487839612201287680,2023-01-10 17:00:00,1330.30429375066,302467868.064907
"8",2.19127092236418e+33,1.03422777057266e+42,36678622681955172352,2023-01-10 18:00:00,1331.89273423786,302471777.800944
"9",2.19130327068163e+33,1.03423603437934e+42,27640003707161440256,2023-01-10 19:00:00,1341.03624838397,302191425.180943
"10",2.19134623800804e+33,1.03427118841043e+42,32696086116965867520,2023-01-10 20:00:00,1339.24736802762,303382974.876796
"11",2.1913816770238e+33,1.03429296783779e+42,30241979694687813632,2023-01-10 21:00:00,1341.93322814905,303080808.536068
"12",2.19139352271557e+33,1.03430638084042e+42,35844730563057369088,2023-01-10 22:00:00,1339.29383560133,303997413.908832
"13",2.19140151268695e+33,1.03431687886351e+42,39536680981812322304,2023-01-10 23:00:00,1336.69264679244,303483638.3416
"14",2.19141199197955e+33,1.03432692043654e+42,38925706258259894272,2023-01-11,1335.42863241838,303402819.077305
"15",2.19143292319653e+33,1.03433759538878e+42,38125951334272507904,2023-01-11 01:00:00,1338.27670956674,302914640.184956
"16",2.19145287075421e+33,1.0343531897726e+42,35472501582352924672,2023-01-11 02:00:00,1337.8811132514,303344242.673449
"17",2.19150154845291e+33,1.03440152357329e+42,36191259212712734720,2023-01-11 03:00:00,1331.09084801682,302961413.245897
"18",2.19151275918574e+33,1.03441055643238e+42,38373098467934306304,2023-01-11 04:00:00,1330.74861410683,302641571.723217
"19",2.19151837218118e+33,1.03441496888997e+42,38562995397951373312,2023-01-11 05:00:00,1330.63574247675,303053507.82046
"20",2.19152733555074e+33,1.03442083457919e+42,43495334494194188288,2023-01-11 06:00:00,1330.93099084905,303053297.400357
"21",2.1915417144659e+33,1.03442708484969e+42,46827011483548540928,2023-01-11 07:00:00,1333.72926664618,301731460.699372
"22",2.19154700073024e+33,1.03442885438743e+42,3.9574766804608e+19,2023-01-11 08:00:00,1334.98450218632,301782623.762107
"23",2.19155138913383e+33,1.03443421820598e+42,95866505813185593344,2023-01-11 09:00:00,1333.79767089265,302607500.272807
"24",2.19156001571068e+33,1.03443760921703e+42,40081620280287387648,2023-01-11 10:00:00,1335.55586495149,303094981.993423
"25",2.19156745126656e+33,1.03444280278431e+42,40134485045237727232,2023-01-11 11:00:00,1335.85973544502,303176832.300632
"26",2.19157672691936e+33,1.03444848170414e+42,40124290260922867712,2023-01-11 12:00:00,1336.49450355485,302933559.578264
"27",2.1915804998469e+33,1.03445751169338e+42,49158464482665349120,2023-01-11 13:00:00,1332.94153353153,303455226.921673
"28",2.19159077078074e+33,1.03446614290109e+42,43187290624736657408,2023-01-11 14:00:00,1332.42110763646,303181844.373067
"29",2.19160597104484e+33,1.0344771125199e+42,43189294356395122688,2023-01-11 15:00:00,1332.66749855397,303073904.936736
"30",2.19162490278838e+33,1.03450932383199e+42,33368833200662110208,2023-01-11 16:00:00,1322.47086712462,301091907.253556
"31",2.19166094341044e+33,1.03453168632183e+42,33564261271002664960,2023-01-11 17:00:00,1325.13271982904,300791523.857929
"32",2.19167765442896e+33,1.03454007018582e+42,39343750805812543488,2023-01-11 18:00:00,1327.58922300977,301317529.168148
"33",2.19175318080755e+33,1.03458041007774e+42,30856084513566777344,2023-01-11 19:00:00,1336.78603516723,302136861.839029
"34",2.19178153893619e+33,1.03459224989165e+42,78726179596726468608,2023-01-11 20:00:00,1342.1587455532,302547747.481624
"35",2.19180874576607e+33,1.03461240237745e+42,28613861787390205952,2023-01-11 21:00:00,1342.21908586673,302644975.131424
"36",2.19182346286187e+33,1.03462287697862e+42,3.0439482299984e+19,2023-01-11 22:00:00,1342.50335496178,301137711.960094
