Timestamp,Date (UTC),APY (%),RATE_TWAR (%),ETH Price ($)
1677801600,2023-03-03 00:00:00.000,3.2355,3.2355,1644.06
1677805200,2023-03-03 01:00:00.000,3.2372,3.2372,1557.33
1677808800,2023-03-03 02:00:00.000,3.2767,3.2569,1565.69
1677812400,2023-03-03 03:00:00.000,3.1648,3.2207,1565.06
1677816000,2023-03-03 04:00:00.000,3.1608,3.1628,1572.66
1677819600,2023-03-03 05:00:00.000,3.1610,3.1609,1568.22
1677823200,2023-03-03 06:00:00.000,3.1149,3.1379,1565.61
1677826800,2023-03-03 07:00:00.000,3.0982,3.1065,1569.63
1677830400,2023-03-03 08:00:00.000,3.1459,3.1221,1571.56
1677834000,2023-03-03 09:00:00.000,3.1073,3.1266,1567.09
1677837600,2023-03-03 10:00:00.000,3.1104,3.1088,1566.63
1677841200,2023-03-03 11:00:00.000,3.0996,3.1050,1564.57
1677844800,2023-03-03 12:00:00.000,3.1058,3.1027,1564.75
1677848400,2023-03-03 13:00:00.000,3.1214,3.1136,1573.64
1677852000,2023-03-03 14:00:00.000,3.1205,3.1210,1571.65
1677855600,2023-03-03 15:00:00.000,3.1205,3.1205,1566.00
1677859200,2023-03-03 16:00:00.000,3.1205,3.1205,1568.62
1677862800,2023-03-03 17:00:00.000,3.1358,3.1282,1573.00
1677866400,2023-03-03 18:00:00.000,3.1360,3.1359,1559.89
1677870000,2023-03-03 19:00:00.000,3.1342,3.1351,1566.20
1677873600,2023-03-03 20:00:00.000,3.1338,3.1340,1559.70
1677877200,2023-03-03 21:00:00.000,3.1471,3.1405,1559.62
1677880800,2023-03-03 22:00:00.000,3.1471,3.1471,1567.31
1677884400,2023-03-03 23:00:00.000,3.1471,3.1471,1568.60
1677888000,2023-03-04 00:00:00.000,3.1758,3.1614,1574.47
1677891600,2023-03-04 01:00:00.000,3.1759,3.1758,1571.87
1677895200,2023-03-04 02:00:00.000,3.1509,3.1634,1572.10
1677898800,2023-03-04 03:00:00.000,3.1543,3.1526,1570.42
1677902400,2023-03-04 04:00:00.000,3.1558,3.1550,1569.60
1677906000,2023-03-04 05:00:00.000,3.1592,3.1575,1566.58
1677909600,2023-03-04 06:00:00.000,3.1592,3.1592,1570.54
1677913200,2023-03-04 07:00:00.000,3.1613,3.1603,1569.29
1677916800,2023-03-04 08:00:00.000,3.1890,3.1752,1568.57
1677920400,2023-03-04 09:00:00.000,3.1895,3.1893,1569.31
1677924000,2023-03-04 10:00:00.000,3.1869,3.1882,1569.06
1677927600,2023-03-04 11:00:00.000,3.1763,3.1816,1568.95
1677931200,2023-03-04 12:00:00.000,3.1775,3.1769,1571.10
1677934800,2023-03-04 13:00:00.000,3.1775,3.1775,1569.13
1677938400,2023-03-04 14:00:00.000,3.1776,3.1775,1567.15
1677942000,2023-03-04 15:00:00.000,3.1793,3.1784,1563.11
1677945600,2023-03-04 16:00:00.000,3.1793,3.1793,1563.52
1677949200,2023-03-04 17:00:00.000,3.1162,3.1477,1562.33
1677952800,2023-03-04 18:00:00.000,3.1162,3.1162,1563.40
1677956400,2023-03-04 19:00:00.000,3.1162,3.1162,1559.46
1677960000,2023-03-04 20:00:00.000,3.0997,3.1079,1556.57
1677963600,2023-03-04 21:00:00.000,3.0997,3.0997,1556.11
1677967200,2023-03-04 22:00:00.000,3.0946,3.0971,1561.56
1677970800,2023-03-04 23:00:00.000,3.0946,3.0946,1566.30
1677974400,2023-03-05 00:00:00.000,3.0847,3.0896,1569.33
1677978000,2023-03-05 01:00:00.000,3.0868,3.0857,1581.70
1677981600,2023-03-05 02:00:00.000,3.0982,3.0925,1566.26
1677985200,2023-03-05 03:00:00.000,3.0982,3.0982,1568.15
1677988800,2023-03-05 04:00:00.000,3.0979,3.0981,1573.01
1677992400,2023-03-05 05:00:00.000,3.0974,3.0976,1569.97
1677996000,2023-03-05 06:00:00.000,3.0974,3.0974,1571.84
1677999600,2023-03-05 07:00:00.000,3.0974,3.0974,1569.31
1678003200,2023-03-05 08:00:00.000,3.1036,3.1005,1565.87
1678006800,2023-03-05 09:00:00.000,3.0971,3.1003,1569.06
1678010400,2023-03-05 10:00:00.000,3.0971,3.0971,1570.71
1678014000,2023-03-05 11:00:00.000,3.0972,3.0972,1569.71
1678017600,2023-03-05 12:00:00.000,3.0973,3.0972,1569.91
1678021200,2023-03-05 13:00:00.000,3.0977,3.0975,1572.62
1678024800,2023-03-05 14:00:00.000,3.0454,3.0716,1569.81
1678028400,2023-03-05 15:00:00.000,3.0454,3.0454,1570.16
1678032000,2023-03-05 16:00:00.000,3.0454,3.0454,1570.54
1678035600,2023-03-05 17:00:00.000,3.0858,3.0656,1569.30
