symbol,total_supply_usd,total_debt_usd,total_activity_usd,supplier_users,borrower_users,active_users,debt_from_high_loopers_usd,debt_from_extreme_loopers_usd,debt_from_low_hf_users_usd,supply_from_high_loopers_usd,supply_from_extreme_loopers_usd,supply_from_low_hf_users_usd,equity_backed_supply_usd,debt_high_loop_share,debt_extreme_loop_share,debt_low_hf_share,supply_high_loop_share,supply_extreme_loop_share,supply_low_hf_share,equity_backing_ratio,synthetic_or_looped_supply_ratio,looping_activity_score,healthy_collateral_score
cbBTC,69359720876.30771,46692359.90523517,69406413236.21294,2260,212,2414,5551.9557899233505,0.0,25408674.396562558,4505349540.537393,4499610333.390936,8653065915.454205,9095291303.434683,0.00011890501574971502,0.0,0.5441719897672964,0.06495628130586027,0.06487353577179603,0.12475635435277492,0.1311321785688083,0.8688678214311917,0.06491266271259359,0.10732690126917278
WETH,46020120876.91063,4858248713.371734,50878369590.282364,80168,2341,81138,4747404793.264572,4494033591.349376,4622088986.258091,325362747.5287365,111097373.33777516,883907734.1692983,16686364155.46325,0.9771843874929504,0.9250316022273828,0.9513899470680367,0.007070010711162181,0.0024141043356866823,0.01920698419140345,0.3625884469120373,0.6374115530879627,0.0997038148361223,0.3547657023816605
USDC,10544909940.584013,1625705510.7414808,12170615451.325493,24384,9085,31902,91771558.27464603,70616870.27501,105867759.168847,641685907.111236,51710659.93606901,834302726.2898589,7682483842.503211,0.05645029660555756,0.04343767663234518,0.06512111724377494,0.06085266832309212,0.004903850315217116,0.07911899968712795,0.7285490237271509,0.2714509762728491,0.060264615895492916,0.6676169264702123
USDT,6734762871.451895,1784372341.28236,8519135212.734255,18113,8935,25657,178171557.04174888,65633093.465088986,135690669.85186997,70221913.48770502,3665689.504176999,188554165.174577,4748676658.098171,0.0998511089415922,0.03678217373506305,0.07604392127842236,0.010426783366845762,0.0005442937745760218,0.027997149828963182,0.7050993106568637,0.2949006893431363,0.02915712268049927,0.6849855032256414
wstETH,5466741892.340688,69770139.13015296,5536512031.47084,5735,359,6013,55030289.60419666,50951700.80819184,52970924.66218248,1223371517.6017737,1197205769.0160887,1221588780.5784578,3192353620.167753,0.7887369910720718,0.7302794783473745,0.7592205680336638,0.2237843932810891,0.2189980417208764,0.22345828733747145,0.5839590898996856,0.4160409101003144,0.23090382535777632,0.3541598582104037
WBTC,5228818985.062195,108842169.57314186,5337661154.635337,14855,1175,15534,621865.879312333,0.0,15045429.381741896,46093003.923240215,5629902.406232137,113730332.65183628,2627775549.773724,0.005713464567558437,0.0,0.1382316196079809,0.008815184471851048,0.0010767063121358315,0.021750673139908572,0.5025562287164292,0.49744377128357076,0.008751936185005745,0.4910959563956052
weETH,4553608385.779833,134848.15867885912,4553743233.938512,1575,38,1609,15403.741283249563,15403.495793486687,15403.741283249563,2828925990.9992614,2655410714.9210577,2797954786.009799,679951745.7509297,0.11423026783727594,0.11422844734699056,0.11423026783727594,0.6212492931613378,0.5831442868942062,0.6144478288355559,0.14932152441441973,0.8506784755855803,0.6212342790117762,0.023998899445680313
USDe,3992754504.9969435,207593899.54853168,4200348404.545475,2148,778,2815,85592946.03992541,51785751.582675844,57372446.22279443,137003178.18306834,24062723.990715094,79972332.48592792,2985952330.4258833,0.41230954390312097,0.2494570008815181,0.27636865219819134,0.03431294811930172,0.006026597418048249,0.020029363785287156,0.7478427052524655,0.25215729474753446,0.052994681103621724,0.728447216017563
PT-eUSDE-14AUG2025,4019648064.985294,0.0,4019648064.985294,134,0,134,0.0,0.0,0.0,4484258.8525935095,4484242.289544631,4484261.879420439,2793837156.5252976,0.0,0.0,0.0,0.0011155849417901504,0.0011155808212680023,0.0011155856947980955,0.6950452157396817,0.3049547842603183,0.0011155849417901504,0.6934953191290175
rsETH,1312912100.169479,102306.72521699694,1313014406.894696,157,5,162,0.0,0.0,1.4309504317597627e-14,1234778024.7837849,1202841945.2750556,1202842007.6565518,112093105.37726086,0.0,0.0,1.3986865758088294e-19,0.940487961550809,0.9161633479650201,0.9161633954788607,0.08537746385518968,0.9146225361448104,0.9404146811336658,0.0006000823554820935
