rank_by_lowest_hf,address,hf,is_hf_below_1,total_debt_usd,collateral_usd,available_borrows_usd,liquidation_threshold,ltv,usdc_debt_events_usd,usdc_debt_share_of_total_debt,is_material_debt_ge_100k
1,0x69fc3fdff69bb82c3b0870d4e3717ca77f92b978,8.29723926e-10,True,9.52123923,1e-08,0.0,0.79,0.75,4.662058,0.4896482366823168,False
2,0x95f070a90b2001aef31e07ad2bb2773c433918e7,0.5239433395569402,True,0.1027807,0.06488104,0.0,0.83,0.0,0.1,0.9729453097711925,False
3,0x7369e908f5a1d42f8a961fcf8b6db67d0b0d2247,0.596120045820134,True,0.02047135,0.01470287,0.0,0.83,0.0,0.02,0.976975138425165,False
4,0xe63cca997a160d9903b4b0d0beb47aca84c5e41a,0.7575421675597502,True,0.01015769,0.00949985,0.0,0.81,0.785,0.01,0.9844758010925713,False
5,0x6ff1934a7cd909b25c855aff7271c01eb88435d7,0.7598197022191251,True,0.00101887,0.00095575,0.0,0.81,0.785,0.001,0.9814794821714252,False
6,0x81f32e1a67ba23d76a312bb0c1364da1cd53c4b5,0.8014607358862352,True,0.00819094,0.00924608,0.0,0.71,0.0,0.006905,0.8430045879960052,False
7,0x36265ccb447d33aa7b4dcf0830b5fcdd91dbd5d1,0.8028936017484154,True,0.00156027,0.00160591,0.0,0.78,0.7294,3e-06,0.001922744140437232,False
8,0x1a3fb7864cd73c0970bb585349e6252350132a59,0.8049802039548029,True,0.01089359,0.01056521,0.0,0.83,0.0,0.01,0.9179710269984459,False
9,0x0e5416a49804bee4118e567ef41b8149284003a7,0.8418498142374907,True,0.00294462,0.00298666,0.0,0.83,0.0,0.002874,0.9760172789697822,False
10,0xde861b7819b9c1f5103a7324d80ffa4047443b0a,0.8424234286839444,True,0.00294562,0.00298971,0.0,0.83,0.0,0.002874,0.975685933691379,False
11,0xd4f66f7a4372213a61da91d3eb60d6d906d82cde,0.8451072270375183,True,0.00293163,0.00298499,0.0,0.83,0.0,0.00286,0.9755664937253337,False
12,0xa56a8d406145907e5b147f389360d88532ad968b,0.8453332901116825,True,0.00293063,0.00298477,0.0,0.83,0.0,0.002859,0.975558156437353,False
13,0x189e783178061c6f3a5b01f03d502cce26c9698f,0.9120300955524835,True,0.28133858,0.32091402,0.0,0.7995,0.7578,0.25726,0.9144142264455873,False
14,0x8735c78c123cf361335f038917cb46882f3f9ac3,0.9158453677295064,True,0.00132883,0.00156026,0.0,0.78,0.73,0.001293,0.973036430544163,False
15,0x51fe20da9f31a3e90ef26860c4a51ac366c5eec9,0.9629106961031579,True,0.20504346,0.23787776,0.0,0.83,0.0,0.2,0.9754029706677794,False
16,0x4fc22a89d06c188493718c69f7e0501e5ac21e69,1.000262066785523,False,210.10173071,269.43178384,0.0,0.78,0.75,200.0,0.9519198120079113,False
17,0xab03e779c1c17bd45da75abadeebaad44875ad2b,1.0006709240768659,False,10.34163602,13.26740317,0.0,0.78,0.75,9.702015,0.9381508864977439,False
18,0x18530a8160ae9a75ac6bba01c9c532fbb4a59827,1.0007222056126344,False,1.03277029,1.37802155,0.0,0.75,0.0,1.0,0.9682695268083283,False
19,0xeb32dab5d38ff953cc323ace8efbdf4f897f1b1f,1.0011438335129708,False,5.00455419,6.42343406,0.0,0.78,0.75,4.372879,0.8737799280379058,False
20,0x2201d5edfc604b1b97cab9535c49edc4fdfa04a2,1.001996010994104,False,6.17129697,7.92771147,0.0,0.78,0.75,6.0,0.9722429546280609,False
21,0xf7c83a9bd51599a2d45e702e2608dcc6816901fa,1.0022438375652003,False,353.31481115,453.98409256,0.0,0.7799,0.7499,186.0,0.5264426911359614,False
22,0x992e4f567260bf4a00e3ba9c219484da0f37709f,1.0029332137619125,False,0.48408446,0.58494504,0.0,0.83,0.0,1e-06,2.06575521965733e-06,False
23,0xa64073dcca3075af9a93f3bf37700ac201dc2599,1.0041003195607687,False,605.15993486,779.02728728,0.0,0.7799,0.7499,595.916082,0.9847249424036333,False
24,0x928a1bc9cc5871cdd6cbe18a5f9cc03aa54664b0,1.0041543051699544,False,7647.06463684,9844.65753461,0.0,0.78,0.75,7238.318736,0.9465486536009056,False
25,0x62d4cf2c2c6c1e37b3f0ec537da9cdb38190f6c5,1.004265174040579,False,0.919096,1.18335398,0.0,0.78,0.75,0.90504,0.9847067118124765,False
26,0x6ccc8625a9adc402569f05fb23d656538a3f8834,1.0046400918476472,False,0.35124253,0.45240042,0.0,0.78,0.75,0.3425,0.9751097055359441,False
27,0x0d8eec7f44b95c63e4b955013743030a0e4b751d,1.00483901075944,False,0.52714175,0.67909307,0.0,0.78,0.75,0.5,0.9485114772260024,False
28,0x5cb61bd967ee38f79b79a05b30cd1b4d31511be4,1.0050436245230134,False,90.76310929,116.94985171,0.0,0.78,0.75,89.0,0.9805746045525321,False
29,0x3da623926153b9bb377948b6b5e2422622eb43f0,1.0058173136388044,False,0.51258364,0.66098141,0.0,0.78,0.75,0.5,0.9754505625657502,False
30,0x65d4a9ffcd2f3386a9c5898a153af2ff1ebc062c,1.0064824843627787,False,917.61839275,1003.8769996,0.0,0.92,0.9,891.390437,0.9714173604657185,False
31,0x6f1e5e1256856e586ce4792c1288f82c7a389d70,1.0067867746731485,False,20.22191474,26.10148246,0.0,0.78,0.75,20.0,0.9890260273147606,False
32,0xbcb4cd1a13b156bdf209daef3b590537e985943d,1.0070549127357478,False,0.87953713,1.13556691,0.0,0.7799,0.7499,0.473478,0.5383263353532329,False
33,0x98cf87bc66094bb831d15a1cbe645083e0562413,1.0071558930593278,False,0.50479765,0.6518076,0.0,0.78,0.75,0.5,0.9904958947411899,False
34,0xb54a9f549cb654414ea4c184de4f7e07dbcb0dcd,1.0073312366206908,False,440.48155888,568.86004284,0.0,0.78,0.75,436.748859,0.9915258657150345,False
35,0x7904c2eeec63315ad1634ab7d7b94c8c198160c8,1.0073818855443306,False,606.12941633,663.69977642,0.0,0.92,0.9,604.295846,0.9969749524101602,False
36,0x6ebfe83839fed0660e7d7fd48b510a83336ad6ae,1.0074664744494992,False,64.77155759,83.66047791,0.0,0.78,0.75,63.819807,0.9853060413333808,False
37,0xb0f76a4c60c6c993ac30bdda24c5f7f98a03249c,1.0075495661014957,False,903834.09707368,1167509.81068503,0.0,0.78,0.75,845027.680017,0.9349367132230615,True
38,0xd469ce76ca266dc2b84b2782a1879e6e0743492d,1.0077873246014077,False,187.8477448,228.19070308,0.0,0.8296,0.0052,0.648467,0.0034520882893239826,False
39,0x7788f5e09fd3796c72df63cf7cb8e9b9c8965ccc,1.0078234999466484,False,210.05958217,271.40937568,0.0,0.78,0.7497,200.0,0.9521108151026463,False
40,0x77ce206c6c50e569d55a326163235069207897ff,1.0080758983031237,False,5.92807746,7.66147684,0.0,0.78,0.7499,5.0,0.8434437697107959,False
41,0x0d734e412a04ddd47dff0dad9d648bc6d2bf6666,1.0088743590805112,False,1.16716688,1.5096471,0.0,0.78,0.75,1.122309,0.9615668669419407,False
