rank_by_lowest_hf,address,hf,is_hf_below_1,total_debt_usd,collateral_usd,available_borrows_usd,liquidation_threshold,ltv,weth_debt_events_tokens,weth_debt_events_usd,weth_debt_share_of_total_debt,weth_share_for_model,is_material_debt_ge_100k
1,0xad0e460a03e87cf34894b6048cfa7618fea1fed4,1.0000111476109492,False,1417.84935554,1492.48964334,0.0,0.95,0.0,0.607719018718392,1417.2955966873142,0.9996094374550285,0.9996094374550285,False
2,0xe8528a6c5c3df3da0f63ae8e9729e74a19fd0806,1.00014443223364,False,112.52727449,135.59461097,0.0,0.8299,0.0,0.04833029502001658,112.71379076291413,1.0016575205767622,1.0,False
3,0x581cb733684bc327a178ef0b350a333bb58cb7b9,1.000824570361648,False,755.89139883,911.46347527,0.0,0.83,0.0,0.3052,711.7740317247001,0.9416353100808045,0.9416353100808045,False
4,0x02125fedc69054163e960416cfcc2b425a25ba3e,1.0008727313798933,False,13.79725936,16.63771164,0.0,0.83,0.0,0.00570026381916841,13.293904850799263,0.9635177903040639,0.9635177903040639,False
5,0x4467e0693152b06bbe71d0464c00d02f212cd28d,1.0009951178104193,False,2853247.6380737,3006407.32170093,0.0,0.95,0.9299,1172.7692115538214,2735080.8322092434,0.9585851559858877,0.9585851559858877,True
6,0xd0bdbe60965ea73315f4b9c433c94f386293506c,1.0020302766028508,False,34.24823667,41.34671092,0.0,0.83,0.0,0.014167157363552932,33.04002200109549,0.964721843038335,0.964721843038335,False
7,0xe677b7b226fdfbb2c8f24d4e98f5ecd9fb8b2c78,1.0020994216190706,False,36.65489633,44.25524146,0.0,0.83,0.0,0.015,34.98234100875,0.9543702072925764,0.9543702072925764,False
8,0x15b21c0a06faacac1fbbd47666d1980397c63742,1.0023449983950279,False,9.41483719,11.36977707,0.0,0.83,0.0,0.003947295273452434,9.205708621209343,0.9777873409204799,0.9777873409204799,False
9,0x25096645ceb47dd7af0b5ba5591e4fe017be30f9,1.0024271278018824,False,786.96888294,830.3989021,0.0,0.95,0.0,0.33,769.6115021925,0.977944006270419,0.977944006270419,False
10,0x079e5016e76098e664499d2ec36d56aa1bc9f5e0,1.002584252820084,False,12411065.50725211,13098040.88240997,0.0,0.95,0.93,5191.243072459755,12106789.02800655,0.9754834523218201,0.9754834523218201,True
11,0x1576544bc8d2026919928a9e4ae1c8577a8f029c,1.0026416403338825,False,176.76709108,186.56215385,0.0,0.95,0.0,0.0742145911646556,173.0800090631298,0.9791415811939705,0.9791415811939705,False
12,0x992e4f567260bf4a00e3ba9c219484da0f37709f,1.0029216958941316,False,0.47592051,0.5750735,0.0,0.83,0.0,0.0002000000000000001,0.4664312134500002,0.9800611733459442,0.9800611733459442,False
13,0xf85b4cdc481fda69bb4963db7a85f9cd03a004ec,1.0031091166680102,False,0.24886702,0.30077202,0.0,0.83,0.0,0.0001,0.233215606725,0.9371093314212546,0.9371093314212546,False
14,0xed840a74f2cb8ffd1077af1331d3da49d078dd1e,1.0031239236063383,False,2.3825275,2.87948233,0.0,0.83,0.0,0.001,2.33215606725,0.9788579847451918,0.9788579847451918,False
15,0x94bff81454b5d404b7bab212f1579984ec490edb,1.003251472459674,False,79.81125872,96.47079859,0.0,0.83,0.0,0.034370226116636884,80.15673137066912,1.004328620500538,1.0,False
16,0xd185e7fafa5d75c7fcb3ff0844fe4c307d8fd57a,1.0039086893421911,False,60466.00102898,73135.35402743,0.0,0.83,0.0,25.09,58513.7957273025,0.9677140001247668,0.9677140001247668,False
17,0x54046aeebf199910ea8a053cd346a2f4288a809b,1.0039167560614453,False,1967.16197387,2078.8072289,0.0,0.95,0.0,0.8300000000000001,1935.6895358175002,0.984001094739248,0.984001094739248,False
18,0x1d9c42b0de2dc3b60be55addd78a83fe1fa5d006,1.0039256206286353,False,548.02282773,579.13069205,0.0,0.95,0.0,0.23120000000000004,539.1944827482001,0.983890552482333,0.983890552482333,False
19,0xa13dbddd0e108e6d1eb0399741d4d893705ce0f8,1.0040910858440588,False,9.95193786,12.03933987,0.0,0.83,0.0,0.0042,9.79505548245,0.9842359970734383,0.9842359970734383,False
20,0x1f9ae272a208e33004379cc3e3a2da6e2e068444,1.004239648323028,False,10.97301532,11.59951268,0.0,0.95,0.0,0.0046354883514971865,10.810682283610864,0.9852061596876422,0.9852061596876422,False
21,0x5fc2ff5b86ef5c85774ed348e36c657c6fcadb1a,1.0045540694250228,False,464555.68957163,491232.95624603,0.0,0.95,0.93,190.76999999999998,444905.41294928244,0.9577009235631853,0.9577009235631853,True
22,0xc95102fb83e055eb58429c267700477136a9715e,1.005063438832941,False,910.25258226,1102.24288016,0.0,0.83,0.0,0.38,886.219305555,0.9735971342752694,0.9735971342752694,False
23,0xf316d8b6fa4e13af2fbf51c0e17dd2742fb0dc2c,1.0050706135454703,False,21894.88610864,23164.11222602,0.0,0.95,0.0,9.169047219001591,21383.6491026963,0.9766503920866728,0.9766503920866728,False
24,0x1942aa1ac557726a977c991423a23eede7656df0,1.0050883298843754,False,8574.14470659,9071.33977193,0.0,0.95,0.0,3.5905412392246534,8373.702535769109,0.9766224879938366,0.9766224879938366,False
25,0xa6bff1317cfcfa343dfd8902a07cd180df377dee,1.005129882881974,False,65.0042975,78.7201951,0.0,0.83,0.0,0.02756312497137972,64.2815091343732,0.9888809141329954,0.9888809141329954,False
26,0x7a0575018b57cb64434fcd794f4f0c624fd0fbd3,1.0052195613265005,False,98140.50498032,103845.00564703,0.0,0.95,0.0,41.27431547362234,96258.14525339889,0.9808197468792466,0.9808197468792466,False
27,0xdd47dcf3e452bdeb48f9f51c998a6ab298dfead5,1.0053161755438935,False,1.04435054,1.26494276,0.0,0.83,0.0,0.000443043096689576,1.033245645997823,0.9893666986544796,0.9893666986544796,False
28,0x8a914ff86fab32750ec9419fb8139538e8a37c30,1.0053315537037535,False,126.5714333,153.3087418,0.0,0.83,0.0,0.053705665177348094,125.24999288904941,0.9895597262628882,0.9895597262628882,False
29,0xa9611dd0548f526c070af6f030c8e98f1c984c01,1.0053689526530025,False,1181.23460613,1430.81517928,0.0,0.83,0.0,0.5,1166.078033625,0.9871688719359006,0.9871688719359006,False
30,0x07423839c4d40b6d5d274fe60eaa9951552045b2,1.0056500366340397,False,27.31238498,33.09241079,0.0,0.83,0.0,0.01153270284690346,26.896062916197252,0.984757022716705,0.984757022716705,False
31,0x5047e08c576778fffce5934ac658c80ada1fcc4c,1.0056942119917818,False,8091559.59282246,8565931.20893487,0.0,0.95,0.93,3456.039192570809,8060022.771607803,0.9961025039916123,0.9961025039916123,True
32,0xc6eb1e952bbfc58bae6dd7c7d6fd690574e1ff3f,1.0057035641089394,False,66.94342655,70.8686765,0.0,0.95,0.93,0.027882233712358016,65.02572052075824,0.9713533332834491,0.9713533332834491,False
33,0x95541e3f8d0542ea790f704f7ae35ec5afdfe343,1.0057719146421755,False,0.71600747,0.8676388,0.0,0.83,0.0,0.0003,0.6996468201749999,0.9771501688034063,0.9771501688034063,False
34,0xb12de542e8a8e21dfc8fd366c1a9dd8a96af8fff,1.0057853464143065,False,1958.4180746,2373.19060432,0.0,0.83,0.0,0.7773404092845055,1812.8791518314579,0.9256854679518479,0.9256854679518479,False
35,0xf3ad0f37b90fc6114cbd35420bb518f23daf99e3,1.005993734941015,False,37.64435747,45.62649129,0.0,0.83,0.0,0.015789618428129093,36.82385441672367,0.9782038236691856,0.9782038236691856,False
36,0x4d3fccba0f6abcf1be1aaaaeb63ac55d43d24488,1.006033414248468,False,0.18799944,0.22787195,0.0,0.83,0.0,8e-05,0.18657248538,0.9924097932419375,0.9924097932419375,False
37,0x5f8b00a18111bacced63065cdce2b8dba073b074,1.006108463563738,False,8296.64582599,8854.59417063,0.0,0.9427,0.0,3.5040060874783006,8171.889056593453,0.9849629872103574,0.9849629872103574,False
38,0xba482cae263659b3226c919b9229a27c76217d7d,1.0062576010069841,False,997238.58148023,1056293.58171788,0.0,0.9499,0.9299,425.93808548084496,993354.0903270018,0.996104752438015,0.996104752438015,True
39,0xa2b9983621c242249bfe9c7fb6d05bb8ceacbfdd,1.0062994472115592,False,189.192451,229.37862513,0.0,0.83,0.0,0.07969500038826811,185.8611786849906,0.9823921499118936,0.9823921499118936,False
40,0xd95133b898d77a46146394d671483101f8fef726,1.0068933104896074,False,83.86958762,101.74424907,0.0,0.83,0.0,0.03570532941287208,83.27040062338949,0.9928557297869958,0.9928557297869958,False
41,0x58ef8372a0dddbc12a176ed11f77e09c05de6695,1.0069717165993834,False,2.61085967,3.16754439,0.0,0.83,0.0,0.00111487404792302,2.6000602750832384,0.9958636632060882,0.9958636632060882,False
42,0x0923496e43e9feb6e548dd65e581e4dc90b4c82b,1.0070010756982382,False,32946.58069997,39972.58097042,0.0,0.83,0.0,13.999896886061613,32649.944463702974,0.9909964484943563,0.9909964484943563,False
43,0x10a09085b9fba4af9fb010c983dff9cf1e49299a,1.0071358482143744,False,10.37645873,12.59096815,0.0,0.83,0.0,0.004433046474393811,10.338556231658748,0.9963472607247337,0.9963472607247337,False
44,0xded95478877fddea13805f6bac6b7988e319e585,1.00735768818827,False,2694.79240383,2857.49457481,0.0,0.95,0.0,1.0320606374541974,2406.926477408709,0.8931769564096447,0.8931769564096447,False
45,0x4347296e62b9214f8366a585aa29354286e29999,1.0074290747266714,False,10966.2830589,13310.54505448,0.0,0.83,0.0,4.685101674914733,10926.388296835532,0.9963620524976244,0.9963620524976244,False
46,0x74ceee50e4bac7f13e252eccb30f810c2d126cf8,1.007534343759091,False,11.75610899,14.27070308,0.0,0.83,0.0,0.005,11.66078033625,0.9918911389958116,0.9918911389958116,False
47,0x6972431301ef2ab7424e8caf912d2fea38373254,1.0075523711778218,False,108.00317532,131.10705613,0.0,0.8299,0.0,0.046148405525707835,107.62528394069295,0.9965011086184513,0.9965011086184513,False
48,0xd469ce76ca266dc2b84b2782a1879e6e0743492d,1.0078090876730976,False,184.69201037,224.36364406,0.0,0.8296,0.0053,0.07578859902681015,176.75084104875273,0.9570031789391515,0.9570031789391515,False
49,0xc679f67afc2562150026aa5dab04ecfabc3ae717,1.0079622648789097,False,1045.62065312,1109.41701234,0.0,0.95,0.0,0.442949083164566,1033.0263917850673,0.9879552289854326,0.9879552289854326,False
50,0xf0bb249b1539c1c63dfe12a9bac23f3357e689d2,1.008034614817119,False,374.66906254,455.03540258,0.0,0.83,0.0,0.16043082010623302,374.14971048464463,0.9986138378978117,0.9986138378978117,False
51,0xff6704d2333fd5cd4281178b1658806b3bd00911,1.008450779099125,False,688.00984527,835.93261493,0.0,0.8299,0.0,0.2860671434149257,667.1532241559947,0.9696855775285884,0.9696855775285884,False
52,0x99aeabff6b7e610509b2862a566ae663e84b7ad5,1.0085176031743714,False,768.97137183,934.36284919,0.0,0.83,0.0,0.32970342017487025,768.9198317538998,0.9999329752992266,0.9999329752992266,False
53,0xed1778a98110b0ed34dadd205e0c6a225e17728f,1.0085360083177093,False,0.46643612,0.56676822,0.0,0.83,0.0,0.0002,0.46643121345,0.9999894807674843,0.9999894807674843,False
54,0x1f0f85c19ee2b3d6589f9c86bb876f6904c7d595,1.0086467775326375,False,298.75798906,317.20135045,0.0,0.95,0.93,0.12,279.85872807,0.9367405670072159,0.9367405670072159,False
55,0x140015d8a642707b5e23de732313c27c1527bc1d,1.008747971214991,False,0.23306437,0.28325688,0.0,0.83,0.0,9.997475135329602e-05,0.23315672294039944,1.0003962550792274,1.0,False
56,0x4b701bb096a70a14e51352c68fb87413bcf2b4ff,1.0088109612977747,False,8.94562177,10.87282084,0.0,0.83,0.0,0.0038399499863720184,8.955362658654057,1.001088900123938,1.0,False
57,0xbca82b996981554c14ce016fdf21bde008eac722,1.0088511484639808,False,16736.55539107,17993.99593232,0.0,0.9383,0.0,6.8143957262584545,15892.234337636124,0.9495522804002803,0.9495522804002803,False
58,0xed3014b006763925b7bceb8e1b1dba85fc6ee79c,1.009118963454118,False,1.26175447,1.53404863,0.0,0.83,0.0,0.0005365523324797512,1.251323777589791,0.9917331837071208,0.9917331837071208,False
59,0xe34648bfd7fbb117d50e18e951933c29c2526246,1.0091537574964409,False,113.26458952,137.71251338,0.0,0.83,0.0,0.04854153007253734,113.20642387226629,0.9994864622034105,0.9994864622034105,False
60,0x537c351c374b013f4db9bbe2b078803ecffc6d54,1.0091742985826855,False,32559290.05701525,34587367.05856692,0.0,0.95,0.0,13928.41061139817,32483227.314521525,0.9976638697477577,0.9976638697477577,True
61,0x1601730b70ceb5a5737888a1d90af8978a4a78dc,1.009213613084733,False,1.90724384,2.31905596,0.0,0.83,0.0,0.0008,1.8657248538,0.9782308977335588,0.9782308977335588,False
62,0x59d1efacb3803d3d776a8fe08bc29a9e5a0c8af9,1.0092136541902372,False,2.38405467,2.89881991,0.0,0.83,0.0,0.001,2.33215606725,0.9782309510754635,0.9782309510754635,False
63,0x6f0f37334f114c5e5cfa7be86bcabbd30482a7b0,1.0093240535643777,False,6.81749804,8.29254393,0.0,0.8297,0.0031,0.00289,6.739931034352501,0.9886223648041563,0.9886223648041563,False
64,0x23a5e45f9556dc7ffb507db8a3cfb2589bc8adad,1.009454573140504,False,47753283.39204038,50741863.4763891,0.0,0.95,0.0,8431.184664482884,19662838.469378915,0.4117588796555162,0.4117588796555162,True
65,0xe7881b8bd45996d342ff029dd734c09ea941ded2,1.0094593663431253,False,5812.48096385,6176.27721121,0.0,0.95,0.0,2.4780431972500927,5779.183477374392,0.9942713814148042,0.9942713814148042,False
66,0xa284b3499d4fc3db457233b3df476cc15677ccad,1.0094863971591517,False,4.52053146,5.77647316,0.0,0.79,0.75,0.0019000000000000006,4.431096527775002,0.9802158367845982,0.9802158367845982,False
67,0x2f206d74d7cfcc6a9f556825034eb110a572ad62,1.0095682793539111,False,3289465.49878445,3495726.34063355,0.0,0.95,0.93,1407.5532677382607,3282633.8933333484,0.9979231867749864,0.9979231867749864,True
68,0x3c1bf7d29100acf8fe8c48ac3ed144388ad470a9,1.0095683157765187,False,4554619.99745749,4840210.56824759,0.0,0.95,0.93,1898.8485737596527,4428411.222082583,0.9722899439590218,0.9722899439590218,True
69,0x165161d0dae5b40a679df1d7fdb6c0cf19371879,1.0097215735865654,False,4120.02374074,4379.02826812,0.0,0.95,0.93,1.7624047343080151,4110.202894066561,0.9976163130866632,0.9976163130866632,False
70,0x18a95d140a0c89714093b887dcbba2c5d0210170,1.009787184683207,False,153111.17349457,186277.69343183,0.0,0.8299,0.0,64.73643806026227,150975.4767943945,0.9860513334759906,0.9860513334759906,True
71,0x4b441cd7c5085d0c255eff3db7ec3417cca1a1a0,1.0097971201953388,False,9973156.94151804,10600910.69347481,0.0,0.95,0.93,1827.5198053271688,4262061.402013295,0.4273532871292163,0.4273532871292163,True
72,0xcc9347070e501ff08c8cff71265434880fd8906d,1.009852716421065,False,6355.41317891,6755.82238179,0.0,0.95,0.0,2.732893309929014,6373.533713897884,1.0028511969997507,1.0,False
73,0x92d95a4cb77857e82e9e6887f0b545f5a430ec38,1.0101034300463672,False,11483.95434615,14871.7713789,0.0,0.78,0.75,0.01,23.3215606725,0.002030795314012944,0.002030795314012944,False
74,0xba32bc3cdfc91ba69b7f6a3d61ed661695b64bee,1.010455003088409,False,1261.67483084,1341.96383694,0.0,0.95,0.93,0.538222983950098,1255.2199975526205,0.9948839168939576,0.9948839168939576,False
75,0x5410d09be697e57cd7c4ffa83759abed3219e020,1.0104667605830462,False,13047014.81661504,13877447.15476211,0.0,0.95,0.93,5415.428573233434,12629624.603825364,0.9680087576617036,0.9680087576617036,True
76,0xc59a1a2ed72eb7b31b8eaedab1f6f8d8c8881365,1.0105550987922016,False,1679845.74187515,1786952.45326411,0.0,0.9499,0.9299,312.72290380538305,729318.6174777622,0.434158089220532,0.434158089220532,True
77,0x2ba553d9f990a3b66b03b2dc0d030dfc1c061036,1.010764191587526,False,3991272.29450861,4246563.27806809,0.0,0.95,0.93,1680.4451920786573,3919060.450387332,0.9819075626033757,0.9819075626033757,True
78,0x1d46ce6b1d12b1ce9252034e9fb7a292db762e38,1.0108207224319574,False,9328535.11210183,9925764.84341753,0.0,0.95,0.93,3881.7643854234207,9052880.363100197,0.9704503712866955,0.9704503712866955,True
79,0xfbf171bc10d5e952fb2a6f66bd50e482006e75f1,1.010865291648965,False,71.57541018,88.2732341,0.0,0.8196,0.0364,0.030455591254526848,71.02719192593082,0.9923406900122471,0.9923406900122471,False
80,0xbabbb7a7b5fe8d1f72ab63a9bd2d8de8b5e89887,1.0109486509344583,False,15432.50925564,19241.16683646,0.0,0.8108,0.2797,3.456463843205877,8061.013123162838,0.5223397562659385,0.5223397562659385,False
81,0xa7bf267a672e3cd2664e73a1a882de33cdfe49d9,1.0111928035513187,False,1911420.99520723,2034542.26832679,0.0,0.95,0.93,809.0752522687847,1886889.7584404703,0.9871659687592266,0.9871659687592266,True
82,0x777dac906678b50c6ef35116378bc805efcea833,1.0117384321448402,False,5788574.55967404,6164761.42037697,0.0,0.95,0.93,2493.0837523823275,5814260.399280841,1.0044373341557593,1.0,True
83,0xcb9c42984e15e618281fb80db3ab0ee542c76cd2,1.0122716006190142,False,6.25101727,7.62376778,0.0,0.83,0.0,0.0025843208752105657,6.02703960884315,0.9641694061170223,0.9641694061170223,False
84,0x512f98be678c85f1b66f643cca4d557a36a9ad5c,1.0129928821984362,False,36915.75363963,46114.13834494,0.0,0.8109,0.286,1.8488383560730475,4311.779589480274,0.1168005299735089,0.1168005299735089,False
85,0x63b9c30aff5a407042a9f32b21efaa8efbb5d604,1.0140334243905513,False,2.65936816,2.83861916,0.0,0.95,0.0,0.001115951427916768,2.6025728933723915,0.9786433230712935,0.9786433230712935,False
86,0x1793aa9109d87e2d5bd3bdecc90b879e0ca66d97,1.0144281647168365,False,477.14797667,509.81896106,0.0,0.9494,0.0,0.20296429421551335,473.3444101898235,0.9920285390148326,0.9920285390148326,False
87,0x6614c11525921441e2d506772a4148bac46d4588,1.0145435613026952,False,688.43679733,735.2096001,0.0,0.95,0.0,0.28756886804685033,670.6554803676767,0.9741714605737439,0.9741714605737439,False
88,0xff74f0185784ffc586feb419bae0eab34ced8cec,1.0146685718136224,False,1522.85976222,1861.68427404,0.0,0.8299,0.0,0.43125336891456495,1005.7501608361052,0.6604351797764616,0.6604351797764616,False
89,0x5924d5daf81b941a7153dd98d0ccd80e4de0906a,1.014720150614791,False,15351.91770759,19971.66698522,0.0,0.78,0.75,0.045828541440377235,106.87931097339383,0.006961951790593081,0.006961951790593081,False
90,0xb09f51a73e383bbc1a7ab826e97ea49d68dda3e4,1.0150250654324708,False,2827.24733885,3020.7651738,0.0,0.95,0.0,1.1480827795151833,2677.5082199515787,0.947037135081599,0.947037135081599,False
91,0xb8462cdc4a214694b029870448cfd32ddfbd05f9,1.0155168118770854,False,5010920.5682877,5356499.03165983,0.0,0.95,0.93,2147.0299999999997,5007209.041067767,0.9992593123021302,0.9992593123021302,True
92,0xa879e400ce3a6d86e3a35f8009fc07ac0059eaab,1.0157997450833902,False,134710.53775274,164866.18061359,0.0,0.83,0.0,38.947270831480246,90831.11397246561,0.6742688099069526,0.6742688099069526,True
93,0x962bdd83c3943fe08b62101fd9f9a8b923a0b475,1.017017447603322,False,16665779.62024676,17841461.73863455,0.0,0.95,0.93,6809.350343294301,15880467.717144674,0.9528787778911924,0.9528787778911924,True
94,0x08fe75f6e8d1a499b8360722fc01abe90979bae8,1.0170305825689063,False,270.72720527,289.82931294,0.0,0.95,0.0,0.11046580600530527,257.62349969893415,0.9515981204844288,0.9515981204844288,False
95,0x4127143a866bf5d8ad2afb6de8e63164b8ad5bf6,1.0176339959992131,False,4855595.54380617,5201283.25915731,0.0,0.95,0.93,1996.1547452939558,4655344.400407177,0.9587586853986563,0.9587586853986563,True
96,0xa320f07e67cc5e6008342490710e56d028c16a51,1.017738194812672,False,76.48035329,81.93365968,0.0,0.95,0.0,0.03253460501750471,75.87577648715589,0.9920950050982158,0.9920950050982158,False
